pind,volumn,title,author,poetry
0,卷1_1,帝京篇十首,李世民,"['秦川雄帝宅', '函谷壯皇居', '綺殿千尋起', '離宮百雉馀', '連薨遙接漢', '飛觀迥凌虛', '云日隱層闕', '風煙出綺疏', '巖廊罷機務', '崇文聊駐輦', '玉匣啟龍圖', '金繩披鳳篆', '韋編斷仍續', '縹帙舒還卷', '對此乃淹留', '欹案觀墳典', '移步出詞林', '停輿欣武宴', '雕弓寫明月', '駿馬疑流電', '驚雁落虛弦', '啼猿悲急箭', '閱賞誠多美', '于茲乃忘倦', '鳴笳臨樂館', '眺聽歡芳節', '急管韻朱弦', '清歌凝白雪', '彩鳳肅來儀', '玄鶴紛成列', '去茲鄭衛聲', '雅音方可悅', '芳辰追逸趣', '禁苑信多奇', '橋形通漢上', '峰勢接云危', '煙霞交隱映', '花鳥自參差', '何如肆轍跡', '萬里賞瑤池', '飛蓋去芳園', '蘭橈游翠渚', '萍間日彩亂', '荷處香風舉', '桂楫滿中川', '弦歌振長嶼', '豈必汾河曲', '方為歡宴所', '落日雙闕昏', '回輿九重暮', '長煙散初碧', '皎月澄輕素', '搴幌玩琴書', '開軒引云霧', '斜漢耿層閣', '清風搖玉樹', '歡樂難再逢', '芳辰良可惜', '玉酒泛云罍', '蘭殽陳綺席', '千鐘合堯禹', '百獸諧金石', '得志重寸陰', '忘懷輕尺璧', '建章歡賞夕', '二八盡妖妍', '羅綺昭陽殿', '芬芳玳瑁筵', '佩移星正動', '扇掩月初圓', '無勞上懸圃', '即此對神仙', '以茲游觀極', '悠然獨長想', '披卷覽前蹤', '撫躬尋既往', '望古茅茨約', '瞻今蘭殿廣', '人道惡高危', '虛心戒盈蕩', '奉天竭誠敬', '臨民思惠養', '納善察忠諫', '明科慎刑賞', '六五誠難繼', '四三非易仰', '廣待淳化敷', '方嗣云亭響']"
1,卷1_2,飲馬長城窟行,李世民,"['塞外悲風切', '交河冰已結', '瀚海百重波', '陰山千里雪', '迥戍危烽火', '層巒引高節', '悠悠卷旆旌', '飲馬出長城', '寒沙連騎跡', '朔吹斷邊聲', '胡塵清玉塞', '羌笛韻金鉦', '絕漠干戈戢', '車徒振原隰', '都尉反龍堆', '將軍旋馬邑', '揚麾氛霧靜', '紀石功名立', '荒裔一戎衣', '靈臺凱歌入']"
2,卷1_3,執契靜三邊,李世民,"['執契靜三邊', '持衡臨萬姓', '玉彩輝關燭', '金華流日鏡', '無為宇宙清', '有美璇璣正', '皎佩星連景', '飄衣云結慶', '戢武耀七德', '升文輝九功', '煙波澄舊碧', '塵火息前紅', '霜野韜蓮劍', '關城罷月弓', '錢綴榆天合', '新城柳塞空', '花銷蔥嶺雪', '縠盡流沙霧', '秋駕轉兢懷', '春冰彌軫慮', '書絕龍庭羽', '烽休鳳穴戍', '衣宵寢二難', '食旰餐三懼', '翦暴興先廢', '除兇存昔亡', '圓蓋歸天壤', '方輿入地荒', '孔海池京邑', '雙河沼帝鄉', '循躬思勵己', '撫俗愧時康', '元首佇鹽梅', '股肱惟輔弼', '羽賢崆嶺四', '翼圣襄城七', '澆俗庶反淳', '替文聊就質', '已知隆至道', '共歡區宇一']"
3,卷1_4,正日臨朝,李世民,"['條風開獻節', '灰律動初陽', '百蠻奉遐贐', '萬國朝未央', '雖無舜禹跡', '幸欣天地康', '車軌同八表', '書文混四方', '赫奕儼冠蓋', '紛綸盛服章', '羽旄飛馳道', '鐘鼓震巖廊', '組練輝霞色', '霜戟耀朝光', '晨宵懷至理', '終愧撫遐荒']"
4,卷1_5,幸武功慶善宮,李世民,"['壽丘惟舊跡', '酆邑乃前基', '粵予承累圣', '懸弧亦在茲', '弱齡逢運改', '提劍郁匡時', '指麾八荒定', '懷柔萬國夷', '梯山咸入款', '駕海亦來思', '單于陪武帳', '日逐衛文lq.', '端扆朝四岳', '無為任百司', '霜節明秋景', '輕冰結水湄', '蕓黃遍原隰', '禾穎積京畿', '共樂還鄉宴', '歡比大風詩']"
5,卷1_6,重幸武功,李世民,"['代馬依朔吹', '驚禽愁昔叢', '況茲承眷德', '懷舊感深衷', '積善忻馀慶', '暢武悅成功', '垂衣天下治', '端拱車書同', '白水巡前跡', '丹陵幸舊宮', '列筵歡故老', '高宴聚新豐', '駐蹕撫田畯', '回輿訪牧童', '瑞氣縈丹闕', '祥煙散碧空', '孤嶼含霜白', '遙山帶日紅', '于焉歡擊筑', '聊以詠南風']"
6,卷1_7,經破薛舉戰地,李世民,"['昔年懷壯氣', '提戈初仗節', '心隨朗日高', '志與秋霜潔', '移鋒驚電起', '轉戰長河決', '營碎落星沉', '陣卷橫云裂', '一揮氛沴靜', '再舉鯨鯢滅', '于茲俯舊原', '屬目駐華軒', '沉沙無故跡', '減灶有殘痕', '浪霞穿水凈', '峰霧抱蓮昏', '世途亟流易', '人事殊今昔', '長想眺前蹤', '撫躬聊自適']"
7,卷1_8,過舊宅二首,李世民,"['新豐停翠輦', '譙邑駐鳴笳', '園荒一徑斷', '苔古半階斜', '前池消舊水', '昔樹發今花', '一朝辭此地', '四海遂為家', '金輿巡白水', '玉輦駐新豐', '紐落藤披架', '花殘菊破叢', '葉鋪荒草蔓', '流竭半池空', '紉珮蘭凋徑', '舒圭葉翦桐', '昔地一蕃內', '今宅九圍中', '架海波澄鏡', '韜戈器反農', '八表文同軌', '無勞歌大風']"
8,卷1_9,還陜述懷,李世民,"['慨然撫長劍', '濟世豈邀名', '星旂紛電舉', '日羽肅天行', '遍野屯萬騎', '臨原駐五營', '登山麾武節', '背水縱神兵', '在昔戎戈動', '今來宇宙平']"
9,卷1_10,入潼關,李世民,"['崤函稱地險', '襟帶壯兩京', '霜峰直臨道', '冰河曲繞城', '古木參差影', '寒猿斷續聲', '冠蓋往來合', '風塵朝夕驚', '高談先馬度', '偽曉預雞鳴', '棄繻懷遠志', '封泥負壯情', '別有真人氣', '安知名不名']"
10,卷1_11,于北平作,李世民,"['翠野駐戎軒', '盧龍轉征旆', '遙山麗如綺', '長流縈似帶', '海氣百重樓', '巖松千丈蓋', '茲焉可游賞', '何必襄城外']"
11,卷1_12,遼城望月,李世民,"['玄兔月初明', '澄輝照遼碣', '映云光暫隱', '隔樹花如綴', '魄滿桂枝圓', '輪虧鏡彩缺', '臨城卻影散', '帶暈重圍結', '駐蹕俯九都', '停觀妖氛滅']"
12,卷1_13,春日登陜州城樓俯眺原野回丹碧綴煙霞密翠斑…聊以命篇,李世民,"['碧原開霧隰', '綺嶺峻霞城', '煙峰高下翠', '日浪淺深明', '斑紅妝蕊樹', '圓青壓溜荊', '跡巖勞傅想', '窺野訪莘情', '巨川何以濟', '舟楫佇時英']"
